Line,Name,TransitTime
1,용산,110
1,남영,120
1,서울역,120
1,시청,100
1,종각,90
1,종로3가,90
1,종로5가,90
1,동대문,80
1,동묘앞,80
1,신설동,90
1,제기동,100
1,청량리,0
2,당산,170
2,합정,100
2,홍대입구,110
2,신촌,90
2,이대,90
2,아현,90
2,충정로,110
2,시청,90
2,을지로입구,90
2,을지로3가,80
2,을지로4가,100
2,동대문역사문화공원,100
2,신당,100
2,상왕십리,90
2,왕십리,100
2,한양대,0
3,경복궁,100
3,안국,90
3,종로3가,70
3,을지로3가,80
3,충무로,100
3,동대입구,90
3,약수,90
3,금호,90
3,옥수,0
4,이촌,100
4,신용산,90
4,삼각지,100
4,숙대입구,100
4,서울역,90
4,회현,90
4,명동,80
4,충무로,100
4,동대문역사문화공원,90
4,동대문,90
4,혜화,0
5,마포,100
5,공덕,110
5,애오개,100
5,충정로,90
5,서대문,120
5,광화문,100
5,종로3가,90
5,을지로4가,90
5,동대문역사문화공원,100
5,청구,100
5,신금호,100
5,행당,100
5,왕십리,100
5,마장,0
6,망원,100
6,합정,100
6,상수,100
6,광흥창,100
6,대흥,110
6,공덕,100
6,효창공원앞,130
6,삼각지,110
6,녹사평,90
6,이태원,100
6,한강진,110
6,버티고개,90
6,약수,90
6,청구,0
